PA,SZ,senior_pop_2025,total_pop_2025,aging_index_2025,senior_pop_2015,senior_pop_2020,senior_growth_rate,infra_count_weighted,infra_density,dist_nearest_hospital_km,dist_nearest_poly_km,demand_supply_ratio,cluster_id,cluster_label,cluster_color
Clementi,Clementi Central,3530,14390,0.2453092425295344,2260.0,3070,0.04560253290447691,14.0,0.9402283411685695,2.8546081407229646,0.3852860413374062,4.328357033671154,0,Well-Served,#1A7A3C
Clementi,Clementi North,7420,30700,0.24169381107491858,5600.0,6500,0.028540951399434356,5.0,0.16025641025641027,2.5850563318593083,0.6683130610273018,52.83469993890373,0,Well-Served,#1A7A3C
Clementi,Clementi West,3850,14660,0.2626193724420191,2390.0,3120,0.04883285393153436,2.0,0.13192612137203166,2.1361501813686274,1.5710598686976804,33.38341072390633,0,Well-Served,#1A7A3C
Clementi,Clementi Woods,3930,19660,0.19989827060020346,2560.0,3220,0.04379511138645853,1.0,0.0496031746031746,1.8041569723041109,1.3673354612657533,87.62743770504774,0,Well-Served,#1A7A3C
Clementi,Faber,790,8620,0.09164733178654293,530.0,660,0.04072292711271053,0.0,0.0,1.5413592854100282,1.5012657863149361,790.0,2,Emerging Pressure,#D4A017
Clementi,Sunset Way,1540,6460,0.23839009287925697,1040.0,1310,0.04003687611465967,0.0,0.0,2.478901808338688,1.6934745471588426,1540.0,1,High Pressure,#C0392B
Clementi,West Coast,1160,10250,0.11317073170731708,620.0,880,0.06464943994725014,0.0,0.0,2.2458943006512233,0.99992142568466,1160.0,2,Emerging Pressure,#D4A017
Downtown Core,Bugis,280,1330,0.21052631578947367,610.0,200,-0.07491248524569327,2.0,1.0928961748633879,1.5752878241524948,2.85663924594134,0.2980180327768142,0,Well-Served,#1A7A3C
Downtown Core,Central Subzone,90,1590,0.05660377358490566,0.0,20,0.0,4.0,1.9138755980861246,1.6888457983129859,1.3973864088258872,0.052936107330168965,0,Well-Served,#1A7A3C
Downtown Core,Tanjong Pagar,50,950,0.05263157894736842,40.0,30,0.022565182563572872,1.0,0.6896551724137931,1.2243353587821215,0.9408435846629248,0.07885997607701317,0,Well-Served,#1A7A3C
Geylang,Aljunied,9810,44280,0.22154471544715448,6420.0,7850,0.043310066950168036,14.0,0.31263957123715946,4.183109023399603,0.8603172305028288,38.59824528419984,0,Well-Served,#1A7A3C
Geylang,Geylang East,6970,33140,0.21031985515992757,5190.0,5940,0.029927233603941117,11.0,0.3269916765755053,5.8644457552981635,1.3750106996256624,28.32937341762929,0,Well-Served,#1A7A3C
Geylang,Kampong Ubi,2720,13860,0.19624819624819625,1340.0,1910,0.07336248089679032,1.0,0.06963788300835655,5.744508826865195,1.6570315799339308,51.236015931658315,0,Well-Served,#1A7A3C
Geylang,Macpherson,6690,26620,0.25131480090157776,4870.0,5600,0.03226146621462034,21.0,0.7743362831858407,4.359259326723175,0.9683493806274268,10.756446150518421,0,Well-Served,#1A7A3C
Hougang,Hougang Central,1090,4690,0.232409381663113,630.0,810,0.05635184419820183,17.0,3.2755298651252405,2.8330557855451577,2.544188897038344,0.4051567531648468,0,Well-Served,#1A7A3C
Hougang,Hougang East,4570,23540,0.1941376380628717,2230.0,3280,0.07438796218526433,0.0,0.0,2.028456740684623,1.7233758636957757,4570.0,1,High Pressure,#C0392B
Hougang,Hougang West,10680,42920,0.2488350419384902,5830.0,8100,0.06240540080586077,2.0,0.046061722708429294,2.506226465780664,2.2523270067052668,269.60273645069975,0,Well-Served,#1A7A3C
Hougang,Kangkar,6110,35020,0.1744717304397487,3370.0,4790,0.061307249867248004,2.0,0.0563063063063063,2.6627408745651984,2.359146813299585,127.90594846061776,0,Well-Served,#1A7A3C
Hougang,Kovan,5290,27760,0.1905619596541787,3220.0,4110,0.05089658325849622,0.0,0.0,4.062957812153195,3.819016844937439,5290.0,1,High Pressure,#C0392B
Hougang,Lorong Ah Soo,7810,31380,0.24888463989802423,5210.0,6430,0.041313097819220435,3.0,0.09410288582183188,4.519272142359473,3.9834768146121418,110.09204431756713,0,Well-Served,#1A7A3C
Hougang,Tai Seng,3400,14090,0.24130589070262598,2130.0,2780,0.04787609106289126,2.0,0.13708019191226867,5.1068940665397475,2.7252100148235217,32.843753241015236,0,Well-Served,#1A7A3C
Hougang,Trafalgar,9270,48530,0.19101586647434576,4450.0,6810,0.07614792422908434,1.0,0.020395676116663267,2.179945006459107,2.0212160458554465,502.7752797936172,2,Emerging Pressure,#D4A017
Jurong East,Lakeside (Leisure),280,400,0.7,0.0,430,0.0,0.0,0.0,1.8708771427769983,1.7853776919574824,280.0,2,Emerging Pressure,#D4A017
Jurong East,Teban Gardens,4200,17130,0.24518388791593695,2710.0,3670,0.044787576879188995,0.0,0.0,2.2730623715897096,2.076623561733418,4200.0,1,High Pressure,#C0392B
Jurong East,Toh Guan,3070,13640,0.2250733137829912,1460.0,2190,0.0771558687014362,7.0,0.49504950495049505,0.41103286510947445,1.741613456427162,6.638476260703937,0,Well-Served,#1A7A3C
Jurong East,Yuhua East,6420,23190,0.276843467011643,3790.0,5240,0.054118855468558325,2.0,0.08442380751371886,1.2327308385052906,1.3749542922498363,82.78728632678714,0,Well-Served,#1A7A3C
Jurong East,Yuhua West,4450,18270,0.2435686918445539,2580.0,3530,0.056024588655319896,9.0,0.47948854555141185,2.607756290810318,0.21770730433006355,10.526470344639309,0,Well-Served,#1A7A3C
Jurong West,Boon Lay Place,4860,29750,0.16336134453781512,2990.0,3830,0.04977568189028436,7.0,0.23140495867768596,3.9844585990501176,1.931823817397785,26.260754967390138,0,Well-Served,#1A7A3C
